RFID Number,Category,Status,Condition,Location,User,QTY Washed,Washes Remaining,Assigned Location,Date Assigned,Date/Time
RFID001,Towels - Bath Towel,Received Into Laundry,Good,Laundry Facility,John Smith,23,77,91 Loop Hostel,2025-09-15,2025-10-08 08:15:00
RFID002,Fitted Sheet - King,Issued to Customer,Good,Hotel Grand Plaza,Sarah Johnson,15,85,Hotel Grand Plaza,2025-10-01,2025-10-01 09:30:00
RFID003,Duvet Covers - Queen,Procured,Good,Warehouse,Mike Chen,0,100,Trade Boutique Hotel,2025-10-07,2025-10-07 07:45:00
RFID004,Napkins,Received Into Laundry,Average,Laundry Facility,Emma Davis,45,55,Trade Boutique Hotel,2025-09-20,2025-10-08 10:20:00
RFID005,Towels - Hand Towel,Issued to Customer,Good,91 Loop Hostel,John Smith,12,88,91 Loop Hostel,2025-09-28,2025-09-28 11:45:00
RFID006,Flat Sheet - Double,Received Into Laundry,Good,Laundry Facility,Sarah Johnson,34,66,Luxury Resort,2025-09-10,2025-10-08 09:10:00
RFID007,Tablecloths - Large,External Laundry,Average,External Laundry,Mike Chen,28,72,Hotel Grand Plaza,2025-09-25,2025-10-07 14:30:00
RFID008,Bath Mats,Issued to Customer,Good,Cozy Bed & Breakfast,Emma Davis,19,81,Cozy Bed & Breakfast,2025-10-02,2025-10-02 13:20:00
RFID009,Pillow Cases - Standard,Damaged,Bad,Warehouse,John Smith,92,0,,2025-07-15,2025-10-08 11:00:00
RFID010,Duvet Covers - King,Procured,Good,Warehouse,Sarah Johnson,0,100,91 Loop Hostel,2025-10-08,2025-10-08 08:00:00
RFID011,Towels - Bath Sheet,Received Into Laundry,Good,Laundry Facility,Mike Chen,56,44,Trade Boutique Hotel,2025-09-12,2025-10-08 12:45:00
RFID012,Kitchen Cloths,Issued to Customer,Average,Trade Boutique Hotel,Emma Davis,38,62,Trade Boutique Hotel,2025-09-22,2025-09-22 10:15:00
RFID013,Chefs Jackets,Procured,Good,Warehouse,John Smith,0,100,Hotel Grand Plaza,2025-10-06,2025-10-06 08:30:00
RFID014,Towels - Pool Towel,Received Into Laundry,Stained,Laundry Facility,Sarah Johnson,67,33,Luxury Resort,2025-09-08,2025-10-08 13:15:00
RFID015,Fitted Sheet - Queen,Issued to Customer,Good,Luxury Resort,Mike Chen,14,86,Luxury Resort,2025-10-03,2025-10-03 09:40:00
RFID016,Duvet Inner - King,Lost/Stolen,Unknown,Unknown,Emma Davis,8,92,Hotel Grand Plaza,2025-09-18,2025-10-05 16:20:00
RFID017,Waiter Aprons,Procured,Good,Warehouse,John Smith,0,100,Trade Boutique Hotel,2025-10-08,2025-10-08 07:50:00
RFID018,Towels - Face Cloth,Received Into Laundry,Good,Laundry Facility,Sarah Johnson,71,29,91 Loop Hostel,2025-09-05,2025-10-08 11:25:00
RFID019,Tablecloths - Medium,Issued to Customer,Average,Trade Boutique Hotel,Mike Chen,42,58,Trade Boutique Hotel,2025-09-27,2025-09-27 14:10:00
RFID020,Flat Sheet - Single,Procured,Good,Warehouse,Emma Davis,0,100,Cozy Bed & Breakfast,2025-10-07,2025-10-07 09:05:00
RFID021,Curtain,Received Into Laundry,Good,Laundry Facility,John Smith,3,97,Hotel Grand Plaza,2025-10-06,2025-10-08 08:40:00
RFID022,Towels - Gym Towel,Issued to Customer,Good,91 Loop Hostel,Sarah Johnson,25,75,91 Loop Hostel,2025-09-30,2025-09-30 11:20:00
RFID023,Pillow Cases - Continental (Square),Damaged,Teared,Warehouse,Mike Chen,88,0,,2025-08-01,2025-10-08 15:10:00
RFID024,Duvet Covers - Single,Procured,Good,Warehouse,Emma Davis,0,100,Trade Boutique Hotel,2025-10-08,2025-10-08 07:30:00
RFID025,Towels - Bath Towel,Received Into Laundry,Average,Laundry Facility,John Smith,51,49,Hotel Grand Plaza,2025-09-16,2025-10-08 10:05:00
RFID026,Spa Gown,Issued to Customer,Good,Luxury Resort,Sarah Johnson,6,94,Luxury Resort,2025-10-04,2025-10-04 12:30:00
RFID027,Bath Mats,External Laundry,Good,External Laundry,Mike Chen,33,67,Cozy Bed & Breakfast,2025-09-29,2025-10-07 15:45:00
RFID028,Fitted Sheet - Double,Procured,Good,Warehouse,Emma Davis,0,100,91 Loop Hostel,2025-10-07,2025-10-07 08:20:00
RFID029,Chefs Aprons,To be Stitched/Fix,Teared,Repair Station,John Smith,44,56,Trade Boutique Hotel,2025-09-14,2025-10-08 09:30:00
RFID030,Towels - Hand Towel,Issued to Customer,Stained,Trade Boutique Hotel,Sarah Johnson,79,21,Trade Boutique Hotel,2025-08-22,2025-08-22 13:45:00
RFID031,Duvet Inner - Single,Procured,Good,Warehouse,Mike Chen,0,100,Hotel Grand Plaza,2025-10-08,2025-10-08 08:10:00
RFID032,Napkins,Received Into Laundry,Good,Laundry Facility,Emma Davis,62,38,Trade Boutique Hotel,2025-09-11,2025-10-08 11:50:00
RFID033,Flat Sheet - King,Issued to Customer,Good,Hotel Grand Plaza,John Smith,18,82,Hotel Grand Plaza,2025-10-01,2025-10-01 10:25:00
RFID034,Towels - Bath Towel,Disposed,Bad,Warehouse,Sarah Johnson,95,0,,2025-06-30,2025-10-08 14:20:00
RFID035,Cushion Cover,Procured,Good,Warehouse,Mike Chen,0,100,Luxury Resort,2025-10-06,2025-10-06 09:15:00
RFID036,Tablecloths - Small,Received Into Laundry,Good,Laundry Facility,Emma Davis,29,71,Cozy Bed & Breakfast,2025-09-24,2025-10-08 12:30:00
RFID037,Towels - Pool Towel,Issued to Customer,Good,Luxury Resort,John Smith,11,89,Luxury Resort,2025-10-05,2025-10-05 11:10:00
RFID038,Fitted Sheet - Single,Procured,Good,Warehouse,Sarah Johnson,0,100,91 Loop Hostel,2025-10-08,2025-10-08 07:55:00
RFID039,Duvet Covers - Double,Received Into Laundry,Average,Laundry Facility,Mike Chen,48,52,Trade Boutique Hotel,2025-09-17,2025-10-08 13:40:00
RFID040,Blanket,Issued to Customer,Good,Hotel Grand Plaza,Emma Davis,7,93,Hotel Grand Plaza,2025-10-04,2025-10-04 14:50:00
RFID041,Towels - Bath Towel,Lost/Stolen,Unknown,Unknown,John Smith,31,69,91 Loop Hostel,2025-09-19,2025-10-06 10:00:00
RFID042,Chefs T-Shirts,Procured,Good,Warehouse,Sarah Johnson,0,100,Trade Boutique Hotel,2025-10-07,2025-10-07 08:45:00
RFID043,Flat Sheet - 3/4,Received Into Laundry,Good,Laundry Facility,Mike Chen,54,46,Hotel Grand Plaza,2025-09-13,2025-10-08 09:55:00
RFID044,Waiter Bibs,Issued to Customer,Good,Trade Boutique Hotel,Emma Davis,21,79,Trade Boutique Hotel,2025-09-26,2025-09-26 12:05:00
RFID045,Towels - Hand Towel,External Laundry,Average,External Laundry,John Smith,39,61,Cozy Bed & Breakfast,2025-09-23,2025-10-07 16:10:00
RFID046,Duvet Covers - Cot,Procured,Good,Warehouse,Sarah Johnson,0,100,Cozy Bed & Breakfast,2025-10-08,2025-10-08 08:25:00
RFID047,Pillow Cases - Standard,Damaged,Stained,Warehouse,Mike Chen,85,0,,2025-08-10,2025-10-08 10:40:00
RFID048,Towels - Bath Towel,Issued to Customer,Good,91 Loop Hostel,Emma Davis,16,84,91 Loop Hostel,2025-10-02,2025-10-02 11:35:00
RFID049,Fitted Sheet - Cot,Procured,Good,Warehouse,John Smith,0,100,Hotel Grand Plaza,2025-10-07,2025-10-07 09:20:00
